title,count,date,good_count,bad_count,youtuber,subscriber,url
투명크리퍼 1000마리 VS 킹 오브 장돌하우스ㅋㅋㅋㅣ마인크래프트 타워디펜스[김짱돌],"조회수 63,938회",2019. 1. 18.,980,27,김짱돌,구독자 24.6만명,https://www.youtube.com/watch?v=9IGGWXo7RcM
킹 오브 타워,"조회수 1,231회",2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=ePYy02vDVqI
킹 오브 타워,조회수 977회,2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=DlqFTX3whVg
킹 오브 타워,"조회수 1,707회",2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=xmTHjag4mDQ
킹 오브 타워,조회수 81회,2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=K8pDQ7pmOXI
킹 오브 타워,조회수 564회,2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=u9Hh-pRWTcM
킹 오브 타워,"조회수 14,806회",2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=PZYg-rTVr4Y
킹 오브 타워,조회수 385회,2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=ArABmtEMnbg
킹 오브 타워,"조회수 1,098회",2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=qLjIb3zpT84
킹 오브 타워,"조회수 5,700회",2019. 10. 18.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=lRbbeSnjWhs
"킹 오브 타워, 오랜만에 디펜스게임 즐겼습니다","조회수 1,991회",2019. 10. 20.,8,1,디야TV,,https://www.youtube.com/watch?v=XIUY7DmHgzE
킹 오브 타워 첫 플레이,조회수 367회,2019. 10. 21.,0,0,그냥올려봄,구독자 7명,https://www.youtube.com/watch?v=qsxXIKvV_og
킹 오브 타워,조회수 51회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=KlkGX1jVZKQ
킹 오브 타워,조회수 53회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=SVLTkiyj62c
킹 오브 타워,조회수 13회,2019. 10. 24.,1,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=rYqsd09LWwo
킹 오브 타워,조회수 8회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=yJxyuDQKtUE
킹 오브 타워,조회수 6회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=279EJLzV9KE
킹 오브 타워,조회수 8회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=j9Ud9qGTJUM
킹 오브 타워,조회수 15회,2019. 10. 24.,0,0,킹 오브 타워,구독자 12명,https://www.youtube.com/watch?v=ZOee4E8LNns
