date,count,content_count
2019_09_01,0,0
2019_09_02,0,0
2019_09_03,0,0
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,0,0
2019_09_08,0,0
2019_09_09,0,0
2019_09_10,0,0
2019_09_11,0,0
2019_09_12,0,0
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,0,0
2019_09_21,0,0
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,574675,1
2019_10_07,0,0
2019_10_08,0,0
2019_10_09,6870,1
2019_10_10,0,0
2019_10_11,0,0
2019_10_12,0,0
2019_10_13,0,0
2019_10_14,3472,1
2019_10_15,12808,1
2019_10_16,3030,1
2019_10_17,0,0
2019_10_18,0,0
2019_10_19,0,0
2019_10_20,8484,1
2019_10_21,3917,2
2019_10_22,0,0
2019_10_23,33806,3
2019_10_24,354,1
2019_10_25,375,1
2019_10_26,247,1
2019_10_27,405,2
2019_10_28,3405,1
2019_10_29,8964,2
2019_10_30,340,1
2019_10_31,0,0
2019_11_01,0,0
2019_11_02,0,0
2019_11_03,0,0
2019_11_04,226,1
2019_11_05,0,0
2019_11_06,0,0
2019_11_07,0,0
2019_11_08,0,0
2019_11_09,0,0
2019_11_10,0,0
2019_11_11,0,0
2019_11_12,0,0
2019_11_13,0,0
2019_11_14,0,0
2019_11_15,47,1
2019_11_16,0,0
2019_11_17,877,1
2019_11_18,3402,2
2019_11_19,3072,11
2019_11_20,3816,14
2019_11_21,979,11
2019_11_22,21769,8
2019_11_23,894,3
2019_11_24,499,6
2019_11_25,211623,2
2019_11_26,2682,5
2019_11_27,779,5
2019_11_28,77,3
2019_11_29,999,2
