date,count,content_count
2019_10_19,6027,4
2019_10_20,19184,4
2019_10_21,724,2
2019_10_22,834,2
2019_10_23,1873,2
2019_10_24,3726,2
2019_10_25,2508,2
2019_10_26,0,0
2019_10_27,308,2
2019_10_28,1465,1
2019_10_29,374,1
2019_10_30,0,0
2019_10_31,520,2
2019_11_01,7341,8
2019_11_02,4872,9
2019_11_03,611,6
2019_11_04,4454,9
2019_11_05,458,5
2019_11_06,614,9
2019_11_07,257,5
2019_11_08,4107,3
2019_11_09,17,5
2019_11_10,364,7
2019_11_11,193,3
2019_11_12,77,5
2019_11_13,31,4
2019_11_14,95,1
2019_11_15,2027,4
2019_11_16,1,1
2019_11_17,20,5
2019_11_18,80,3
2019_11_19,34,4
2019_11_20,3,3
2019_11_21,5,1
2019_11_22,40,2
2019_11_23,77,5
2019_11_24,0,0
2019_11_25,2,2
2019_11_26,5,4
2019_11_27,5,3
2019_11_28,220,4
2019_11_29,127,2
