date,count,content_count
2019_09_01,0,0
2019_09_02,1621,1
2019_09_03,282,1
2019_09_04,0,0
2019_09_05,0,0
2019_09_06,0,0
2019_09_07,4,1
2019_09_08,4240,1
2019_09_09,73,1
2019_09_10,118023,1
2019_09_11,0,0
2019_09_12,6,1
2019_09_13,0,0
2019_09_14,0,0
2019_09_15,0,0
2019_09_16,0,0
2019_09_17,0,0
2019_09_18,0,0
2019_09_19,0,0
2019_09_20,43123,1
2019_09_21,6,1
2019_09_22,0,0
2019_09_23,0,0
2019_09_24,0,0
2019_09_25,0,0
2019_09_26,0,0
2019_09_27,0,0
2019_09_28,0,0
2019_09_29,0,0
2019_09_30,0,0
2019_10_01,0,0
2019_10_02,0,0
2019_10_03,0,0
2019_10_04,0,0
2019_10_05,0,0
2019_10_06,0,0
2019_10_07,0,0
2019_10_08,32,1
2019_10_09,9,1
2019_10_10,16,1
2019_10_11,0,0
2019_10_12,12,1
2019_10_13,0,0
2019_10_14,16,1
2019_10_15,0,0
2019_10_16,0,0
2019_10_17,0,0
2019_10_18,3,1
2019_10_19,0,0
2019_10_20,13,1
2019_10_21,7,2
2019_10_22,0,0
2019_10_23,0,0
2019_10_24,0,0
2019_10_25,0,0
2019_10_26,0,0
2019_10_27,0,0
2019_10_28,0,0
2019_10_29,0,0
2019_10_30,0,0
2019_10_31,0,0
2019_11_01,0,0
2019_11_02,0,0
2019_11_03,0,0
2019_11_04,0,0
2019_11_05,0,0
2019_11_06,0,0
2019_11_07,139,1
2019_11_08,362,1
2019_11_09,31040,2
2019_11_10,0,0
2019_11_11,0,0
2019_11_12,1,1
2019_11_13,0,0
2019_11_14,25,1
2019_11_15,0,0
2019_11_16,6,1
2019_11_17,0,0
2019_11_18,0,0
2019_11_19,44655,1
2019_11_20,0,0
2019_11_21,0,1
2019_11_22,9,2
2019_11_23,0,0
2019_11_24,0,0
2019_11_25,0,0
2019_11_26,13,1
2019_11_27,0,0
2019_11_28,0,0
2019_11_29,2,1
